Player;Position;Updated;Injury;Injury Status
J. LandaleJock Landale;C;Thu, Apr 30;Ankle;Expected to be out until at least Oct 1
R. Luis Jr.RJ Luis Jr.;SF;Thu, Jun 11;Not Injury Related;—
J. TatumJayson Tatum;PF;Sat, May 2;Knee;Expected to be out until at least Oct 1
N. TraoreNolan Traore;PG;Sun, Apr 12;Illness;Expected to be out until at least Oct 1
Z. WilliamsZiaire Williams;SF;Sat, Apr 11;Foot;Expected to be out until at least Oct 1
J. MinottJosh Minott;SF;Sat, Apr 11;Ankle;Expected to be out until at least Oct 1
N. ClowneyNoah Clowney;PF;Sat, Apr 11;Ankle;Expected to be out until at least Oct 1
T. MannTerance Mann;SG;Sat, Apr 11;Knee;Expected to be out until at least Oct 1
N. ClaxtonNicolas Claxton;C;Sat, Apr 11;Finger;Expected to be out until at least Oct 1
D. WolfDanny Wolf;PF;Sat, Apr 4;Ankle;Expected to be out until at least Oct 1
M. Porter Jr.Michael Porter Jr.;SF;Fri, Apr 3;Hamstring;Expected to be out until at least Oct 1
D. SharpeDay'Ron Sharpe;C;Thu, Mar 12;Thumb;Expected to be out until at least Oct 1
E. DeminEgor Demin;SG;Mon, Mar 9;Foot;Expected to be out until at least Oct 1
B. MillerBrandon Miller;SG;Wed, May 6;Shoulder;Expected to be out until at least Oct 1
P. HallPJ Hall;C;Thu, Apr 9;Ankle;Expected to be out until at least Oct 1
J. GiddeyJosh Giddey;PG;Wed, May 13;Ankle;Expected to be out until at least Oct 1
R. DillinghamRob Dillingham;PG;Thu, Apr 23;Wrist;Expected to be out until at least Oct 1
I. OkoroIsaac Okoro;SF;Sat, Apr 11;Quadriceps;Expected to be out until at least Oct 1
M. BuzelisMatas Buzelis;SF;Sat, Apr 11;Ankle;Expected to be out until at least Oct 1
N. RichardsNick Richards;C;Fri, Apr 10;Elbow;Expected to be out until at least Oct 1
A. SimonsAnfernee Simons;SG;Fri, Apr 10;Wrist;Expected to be out until at least Oct 1
G. YabuseleGuerschon Yabusele;PF;Fri, Apr 10;Shoulder;Expected to be out until at least Oct 1
J. SmithJalen Smith;PF;Thu, Mar 26;Calf;Expected to be out until at least Oct 1
Z. CollinsZach Collins;C;Sat, Feb 21;Toe;Expected to be out until at least Oct 1
N. EssengueNoa Essengue;PF;Wed, Dec 3;Shoulder;Expected to be out until at least Oct 1
D. SchroderDennis Schroder;PG;Mon, May 25;Illness;Expected to be out until at least Oct 1
C. FlaggCooper Flagg;SF;Mon, Apr 13;Ankle;Expected to be out until at least Oct 1
N. MarshallNaji Marshall;SG;Sun, Apr 12;Hip;Expected to be out until at least Oct 1
P. WashingtonPJ Washington;PF;Sun, Apr 12;Elbow;Expected to be out until at least Oct 1
C. MartinCaleb Martin;SF;Sun, Apr 12;Heel;Expected to be out until at least Oct 1
B. WilliamsBrandon Williams;PG;Sun, Apr 12;Illness;Expected to be out until at least Oct 1
M. Bagley IIIMarvin Bagley III;C;Sun, Apr 12;Shoulder;Expected to be out until at least Oct 1
K. IrvingKyrie Irving;PG;Wed, Feb 18;Knee;Expected to be out until at least Oct 1
D. Lively IIDereck Lively II;C;Wed, Dec 10;Foot;Expected to be out until at least Oct 1
A. GordonAaron Gordon;PF;Fri, May 1;Calf;Expected to be out until at least Oct 1
P. WatsonPeyton Watson;SF;Fri, May 1;Hamstring;Expected to be out until at least Oct 1
C. BediakoCharles Bediako;C;Thu, Jun 11;Not Injury Related;—
Q. PostQuinten Post;C;Sat, Apr 18;Foot;Expected to be out until at least Oct 1
L. CryerL.J. Cryer;PG;Mon, Apr 13;Ankle;Expected to be out until at least Jul 2
M. MoodyMoses Moody;SG;Tue, Mar 24;Knee;Expected to be out until at least Dec 1
J. ButlerJimmy Butler;SF;Tue, Jan 20;Knee;Expected to be out until at least Dec 1
F. VanVleetFred VanVleet;PG;Sat, May 2;Knee;Expected to be out until at least Oct 1
K. DurantKevin Durant;PF;Sat, May 2;Ankle;Expected to be out until at least Oct 1
S. AdamsSteven Adams;C;Wed, Jan 28;Ankle;Expected to be out until at least Oct 1
J. WalkerJarace Walker;PF;Mon, Apr 13;Foot;Expected to be out until at least Oct 1
B. SheppardBen Sheppard;SG;Sun, Apr 12;Hip;Expected to be out until at least Oct 1
T. McConnellT.J. McConnell;PG;Sat, Apr 11;Hamstring;Expected to be out until at least Oct 1
P. SiakamPascal Siakam;PF;Sat, Apr 11;Ankle;Expected to be out until at least Oct 1
A. NesmithAaron Nesmith;SF;Sat, Apr 11;Neck;Expected to be out until at least Oct 1
A. NembhardAndrew Nembhard;PG;Sat, Apr 11;Back;Expected to be out until at least Oct 1
I. ZubacIvica Zubac;C;Fri, Mar 20;Ribs;Expected to be out until at least Oct 1
J. FurphyJohnny Furphy;SG;Mon, Feb 9;Knee;Expected to be out until at least Jan 1
T. HaliburtonTyrese Haliburton;PG;Tue, Oct 28;Achilles;Expected to be out until at least Oct 1
Y. Konan NiederhauserYanic Konan Niederhauser;C;Thu, Mar 5;Foot;Expected to be out until at least Oct 1
B. BealBradley Beal;SG;Wed, Nov 12;Hip;Expected to be out until at least Oct 1
L. DoncicLuka Doncic;PG;Tue, May 12;Hamstring;Expected to be out until at least Oct 1
A. BalAdama-Alpha Bal;SG;Wed, Apr 15;Ankle;Expected to be out until at least Oct 1
