1-2;Team;Player;Updated 6/25/2025;Comp.;0;1;2;3;4
1.0;Mavericks;Cooper Flagg;PF – Duke – HT: 6-9 – WT: 221 – WING: 7-0 – Fr – This pick is a lock. The Mavs get another superstar after the Luka debacle. You can’t make this *ish up. Flagg is one of the most complete prospects we’ve seen in a long time and he’s also one of the youngest players in the draft. He’ll be one of the faces of the NBA for a long, long time.;Andrei Kirilinko+, Scottie Pippen;;;;;
2.0;Spurs;Dylan Harper;SG – Rutgers – HT: 6-5 – WT: 213 – WING: 6-10 1/2 – Fr – The Spurs already have their franchise centerpiece in Wemby and a budding star in Castle, and now get to add another elite guard to the mix with Dylan Harper. He’s a rare talent with great size and strength, very high BBIQ and a very pro ready game. This team is poised to hang some more banners in the rafters in the not too distant future.;James Harden, stronger Coby White;;;;;
3.0;76ers;VJ Edgecombe;SG – Baylor (Bahamas) – HT: 6-5 – WT: 193 – WING: 6-7 1/2 – Fr – VJ is getting a lot buzz in the top 3 or 4 picks and could end up being the pick here. It’s not the cleanest fit on the 76ers roster but you can’t draft for fit/need at this part of the draft. VJ had some ups and downs during his one season at Baylor but he’s got immense talent and a chance to be special. The Hornets are rumored to be in on VJ so the lowest he falls could be no.4.;Jalen Green, D. Wade, Oladipo;;;;;
4.0;Hornets;Ace Bailey;Rutgers – HT: 6-9 – WT: 202 – WING: 7-0 1/2 – Fr – Ace has made it clear he doesn’t want to play in Charlotte but he might be too good to make it past this pick, whether it stays with the Hornets or goes to Washington or Brooklyn in a trade. This pick could be the first big reshuffling of the draft order and set the tone for the rest of the lottery.;TMac, Josh Smith;;;;;
5.0;Jazz;Jeremiah Fears;PG – Oklahoma – HT: 6-4 – WT: 180 – WING: 6-5 1/4 – Fr – Fears is a fun, flashy and explosive player who has a ton of upside. He’s not yet a consistent shooter or finisher and is a bit unproven but he’s got tantalizing talent with the ball in his hands. He’s getting some buzz as high as no.5 to the Jazz and seems to be locked in to the 5-10 range. Smaller guards can be risky picks but the Jazz need to swing for the fences and find a star and Fears has that type of upside ability.;Gilbert Arenas;;;;;
;;;;;6;Wizards;Kon Knueppel;SF – Duke – HT: 6-6 – WT: 219 – WING: 6/6 1/4 – Fr – Kon would be a rock solid pick here with his elite shooting, special feel for the game and solid all around skill-set. He might not have the flashiest upside but he projects as a really good starter-level talent. It remains to be seen if the Wizards stay put at no.6 or try to trade up but either way it’s hard to imagine Kon falling too much lower than this.;Drazen Petrovic, Desmond Bane
;;;;;7;Pelicans;Khaman Maluach;C – Duke (South Sudan) – HT: 7-2 – WT: 253 – WING: 7-6 3/4 – Fr – Maluach is a high upside and very intriguing player who is just scratching the surface of his potential. He’s a game-changer on the defensive end, is a great lob threat on offense and can step out and shoot the rock. The Pelicans have Missi from last year’s draft but Maluach has a chance to be on another level and would be a great addition to the frontcourt.;bigger Myles Tuner, more advanced Rudy Gobert
;;;;;8;Nets;Tre Johnson;SG – Texas – HT: 6-6 – WT: 190 – WING: 6-10 1/4 – Fr – Tre is a professional scorer with ice in his veins. He would be a really exciting guard to add to the depleted Nets roster on this day where they enter the draft with five first round picks. Tre could go as high as no.3 and this seems to be about as far as he could possibly fall.;Richard Hamilton, Alec Burks
;;;;;9;Raptors;Derik Queen;PF – Maryland – HT: 6-10 – WT: 248 – WING: 7-0 1/2 – Fr – Queen is an awesome offensive talent who lacks speed and burst but makes up for it with his unique skill level. He’s a surprising smooth player for such a hefty dude and should be a really good PF/C in the league. The big question is whether he can guard at the NBA level. The Raptors could give him plenty of touches from day one and this could free up some other trade options for them. This could also be a spot where a team in the 10-15 range trades up to get their guy.;Wendell Carter Jr., Alperin Sengun
;;;;;10;Suns;Carter Bryant;SF – Arizona – HT: 6-8 – WT: 215 – WING: 6-11 3/4 – Fr – The Suns get their pick back (KD Trade) and will have a chance to add a solid young player. They need help on the wing and in the frontcourt and Carter Bryant would be a great fit. This is higher than most have him but I think he could land in the top 10. He was a low usage player in his one year at Arizona and he doesn’t need the ball in his hands to be effective.;T.J. Warren+
