#;Player;Bio
1;A.J. Williams;SF – Hampton, GA – HT: 6-6 – WT: 205 – WING: NA – C’28 – A big time talent and one of the top recruits in the 2028 class, Williams can do it all on the court and plays both ends. He’s got a smooth game and makes it all look easy. PLAYER COMP: Jimmy Butler
2;Isaiah Hamilton;SF – Toronto, Canada – HT: 6-7 – WT: 175 – WING: NA – C’28 – An elite talent with pro-level tools. Has to continue to expand his game and develop his perimeter skills but looks the part of a one and done type of talent.
3;Yann Kamagate;C – NY (Burkina Faso) – HT: 7-1 – WT: NA – WING: NA – C-28 – A monster of an athlete with unique movement skills for his size. Is just barely scratching the surface of his potential.
4;Jan Cerdan;SF – FC Barcelona (Spain) – HT: 6-9 – WT: NA – WING: NA – Int.10 – A long and athletic wing who can dribble, pass and shoot. Built in the Franz Wagner mold. PLAYER COMP: Franz Wanger
5;Colton Hiller;SG – Coatesville, PA – HT: 6-6 – WT: 210 – WING: NA – C’28 – One of the premier shooters in high school basketball with good size and strength. Isn’t a top shelf athlete but has lethal scoring ability.
6;Eric Dampier Jr.;C – Madison, MS – HT: 6-11 – WT: 230 – WING: NA – C-28 – An intimidating presence in the lane who does all the traditional big man stuff well. Is like a more advanced/modern version of his old man.
7;Bamba Touray;C – Bradenton, FL (Senegal) – HT: 7-0 – WT: 205 – WING: NA – C-28 – A breathtaking open court athlete who moves like a guard in a 7-foot frame. Touray has special athletic ability and is quickly developing as a basketball talent. He’ll have to add some good weight but you just can’t teach some of the stuff that he does on the court.
8;Bentley Lusakueno;PF – Atlanta, GA – HT: 6-10 – WT: 195 – WING: NA – C’28 – A super talented big man with great ball skills, handles and shooting ability. Will have to get stronger but has a frame that can add good weight.
9;Beckham Black;PG – Duncanville, TX – HT: 6-3 – WT: NA – WING: NA – C-28 – Anthony’s younger brother is a talented point guard with a great feel for the game. He doesn’t have the size that his older brother has but is still a big time prospect.
10;Myles Hayes;SG – Atlanta, GA – HT: 6-5 – WT: 175 – WING: NA – C’28 – The younger son of Jarvis Hayes, Myles is a big time recruit who looks like a future NBA player.
11;Demarcus Henry;SF – Chandler, AZ – HT: 6-7 – WT: 190 – WING: NA – C’27 – A high level athlete who is making huge improvements to his game and jumping up the rankings. Has all the tools and is really putting it together on the court.
12;Rhys Robinson;PG – Spain – HT: 6-7 – WT: NA – WING: NA – Int.10 – A tall ball-handling guard who can really score and pass the rock. A U.S born guy who is choosing to develop in Spain.
13;Soumalia Keita;C – Spain – HT: 6-10 – WT: NA – WING: NA – Int.10– A well built center with natural strength and great size. Moves well up and down the court and excels at rebounding and doing all the big man stuff.
14;Toni Garma;SG – Real Madrid (Croatia) – HT: 6-4 – WT: NA – WING: NA – Int.10 – A talented scorer and creator who is one of the top prospects in Europe. Has solid size and a great feel for the game.
15;Noah Washington;SF – New Albany, IN – HT: 6-5 – WT: NA – WING: NA – C’28 – An impressive talent who looks the part of a future NBA wing. Makes the game look easy and is super smooth on the court.
16;Quinton Wilson;SG – Lakeland, FL – HT: 6-4 – WT: NA – WING: NA – C’28 –
17;Jeremy Gohier;C – Canada – HT: 7-6 – WT: NA – WING: NA – C-28 – One of the tallest prospects in the world, Gohier is a game-changer at the high school level and seems to have enough athleticism at 7-6 to eventually play the pro game.
18;Benjamin Berrouet;PF – McKinney, TX – HT: 6-8 – WT: 240 – WING: NA – C-28 – A big-bodied forward who beats you with strength, high BBIQ and a very high skill level. Fundamentally sound and has effortless talent.
19;Reese Alston;PG – Houston, TX – HT: 6-2 – WT: 160 – WING: NA – C-27 – Rafer’s son, Reese is a shifty and talented lead guard who can really get into the lane.
20;Miles Simpson;SF – Saint Louis, MO – HT: 6-5 – WT: 175 – WING: NA – C’28 –
21;Dylan Betts;C – Englewood, CO – HT: 7-2 – WT: 220 – WING: NA – C-28 – Lauren’s younger brother is a good-looking long-term prospect. He might be a multi-year college player but has the tools to develop into a NBA player.
22;Kameron Mercer;SF – Cincinnati – HT: 6-6 – WT: NA – WING: NA – C’27 – A standout two-way player who is a real menace on defense and in the open court. Has all the tools to be special, just needs to keep refining and developing his offensive game.
23;Logan Chwastyk;PF – Malvern, PA – HT: 6-10 – WT: NA – WING: NA – C-28 – A skilled offensive player with good fluidity and movement skills.
24;Josiah Rose;SG – Dallas, TX – HT: 6-3 – WT: NA – WING: NA – C’28 – A powerful and explosive combo guard who is coming on strong and moving up the rankings.
25;Liam Mitakaro;PG – Alberta, Ontario – HT: 6-4 – WT: NA – WING: NA – C-28 – A crafty point guard and a smooth athlete who is really coming on as a prospect.
26;Shalen Sheppard;PF – Los Angeles, CA – HT: 6-8 – WT: NA – WING: NA – C’28 – A hard-working forward who does a bit of everything on the floor. Lacks ideal big man size and will have to continue to expand his game.
27;Kevin Wheatley Jr.;SF – Rahway, NJ – HT: 6-6 – WT: NA – WING: NA – C’28 – A broad-shouldered 6-6 guard who can really shoot the rock.
28;Xavier Young;C – Dallas, TX – HT: 6-10 – WT: 210 – WING: NA – C-28 – A quickly rising player who is growing into a NBA level frame and has all the tools you look for.
29;Peter Julius;C – Atlanta, GA – HT: 6-9 – WT: NA – WING: NA – C-28 – A hulking big man who is a difference maker in the paint. A good shot blocker and interior defender who can anchor a defense. Does most of his scoring close to the rim but shows some flashes of face-up ability.
30;Howard Williams;SF – OTE (Chicago, IL) – HT: 6-7 – WT: 211 – WING: NA – C’27 – A big time talent with a strong build and a nice looking jumper.
2nd Rnd;;
31;Javon Bardwell;SF – Kansas – HT: 6-6 – WT: NA – WING: NA – C’26 – A big time athlete with NBA level tools.
32;Gangaly Diallo;C – France – HT: 7-1 – WT: 210 – WING: NA – Int.10 – A very intriguing long-term prospect who has great size and length, good mobility and flashes great potential.
33;Quentin Coleman;SG – Illinois – HT: 6-4 – WT: 180 – WING: NA – C’26 – A crafty and talented combo guard who’s arrow is pointing up.
34;Jakyi Miles;PG – Mesa, AZ – HT: 6-4 – WT: 175 – WING: NA – C-28 – A high scoring combo guard with big time ability. Has good athleticism and a solid build.
35;Mahamadou Diop;C – San Gabriel, CA (Mali) – HT: 6-11 – WT: NA – WING: 7-2 – C-27 – A powerfully built center who moves really well for his size and is a force in the paint.
36;Messie-Guethan Iwani;PF – France – HT: 6-8 – WT: NA – WING: NA – Int.10 – A physical forward who isn’t afraid of contact and loves to mix it up in the paint.
37;Evan Willis;SF – Santa Monica, CA – HT: 6-7 – WT: 180 – WING: NA – C’28 – A high flying forward with a long wiry frame and great vertical pop. Loaded with upside.
38;Roko Jerkic;SF – Germany – HT: 6-6 – WT: NA – WING: NA – Int.10 –
39;Quinn Costello;PF – Michigan – HT: 6-10 – WT: 195 – WING: NA – C-26 – A highly skilled floor-spacing big who will be a multi-year college player.
40;Jasiah Jervis;SG – Michigan State – HT: 6-4 – WT: 190 – WING: NA – C’26 – A smooth 2-guard with a nice looking outside shot.
41;DJ Okoth;SF – Cordova, TN – HT: 6-6 – WT: 180 – WING: NA – C’28 – A high level athlete with a developing perimeter game.
